
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights:  50%|████▉     | 144/290 [00:00<00:00, 1439.10it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 1717.18it/s]
dense_full_trainable_parameters=494032768
    {
      "step": 1900,
      "loss": 0.1328860976595223,
      "grad_norm": 186.91485595703125
    },
    {
      "step": 1925,
      "loss": 0.17731658763490543,
      "grad_norm": 297.9181823730469
    },
    {
      "step": 1950,
      "loss": 0.4426216736567312,
      "grad_norm": 217.73980712890625
    },
    {
      "step": 1975,
      "loss": 0.006169538718829415,
      "grad_norm": 13.572298049926758
    },
    {
      "step": 2000,
      "loss": 0.024372485324288817,
      "grad_norm": 42.3123893737793
    },
    {
      "step": 2025,
      "loss": 1.2782087807972857,
      "grad_norm": 1037.4300537109375
    },
    {
      "step": 2050,
      "loss": 0.16208538455245503,
      "grad_norm": 190.38511657714844
    },
    {
      "step": 2075,
      "loss": 0.01492178346884998,
      "grad_norm": 18.23659896850586
    },
    {
      "step": 2100,
      "loss": 0.004172231434374396,
      "grad_norm": 5.977734088897705
    },
    {
      "step": 2125,
      "loss": 0.012158703000750393,
      "grad_norm": 18.957204818725586
    },
    {
      "step": 2150,
      "loss": 0.012580924208918987,
      "grad_norm": 30.094593048095703
    },
    {
      "step": 2175,
      "loss": 0.06000109870082326,
      "grad_norm": 234.94113159179688
    },
    {
      "step": 2200,
      "loss": 0.005760336102866859,
      "grad_norm": 16.68797492980957
    },
    {
      "step": 2225,
      "loss": 0.15913751585506475,
      "grad_norm": 308.5754699707031
    },
    {
      "step": 2250,
      "loss": 1.084837843470794,
      "grad_norm": 460.73992919921875
    },
    {
      "step": 2275,
      "loss": 0.0760536465130599,
      "grad_norm": 228.4055633544922
    },
    {
      "step": 2300,
      "loss": 0.06313705991518859,
      "grad_norm": 165.4451904296875
    },
    {
      "step": 2325,
      "loss": 0.10528557908060776,
      "grad_norm": 303.17718505859375
    },
    {
      "step": 2350,
      "loss": 0.5059705594084178,
      "grad_norm": 446.4706115722656
    },
    {
      "step": 2375,
      "loss": 1.315749830155255e-05,
      "grad_norm": 0.012945077382028103
    },
    {
      "step": 2400,
      "loss": 0.0016810417532084898,
